,Brand,Total VehicleSales,EV Sales,Brand % EV Sales,US % EV Sales,% Total US Vehicle Sales
0,Ford,"2,386,588","9,216",0.39%,2.51%,13.70%
1,Toyota,"2,224,156","27,595",1.24%,7.52%,12.77%
2,Chevrolet,"2,017,205","36,325",1.80%,9.89%,11.58%
3,Honda,"1,445,627","19,550",1.35%,5.32%,8.30%
4,Nissan,"1,344,597","14,715",1.09%,4.01%,7.72%
5,Jeep,"973,227",0,0.00%,0.00%,5.59%
6,Subaru,"680,135",0,0.00%,0.00%,3.90%
7,Hyundai,"679,127","2,395",0.35%,0.65%,3.90%
8,Ram,"597,368",0,0.00%,0.00%,3.43%
9,Kia,"589,673","5,488",0.93%,1.49%,3.39%
10,GMC,"556,451",0,0.00%,0.00%,3.19%
11,Dodge,"459,324",0,0.00%,0.00%,2.64%
12,Volkswagen,"354,053","1,354",0.38%,0.37%,2.03%
13,Mercedes-Benz,"349,084","3,485",1.00%,0.95%,2.00%
14,BMW,"311,014","22,926",7.37%,6.24%,1.79%
15,Mazda,"300,325",0,0.00%,0.00%,1.72%
16,Lexus,"298,302",0,0.00%,0.00%,1.71%
17,Audi,"223,068","2,597",1.16%,0.71%,1.28%
18,Buick,"207,223",0,0.00%,0.00%,1.19%
19,Tesla,"197,517","197,517",100.00%,53.79%,1.13%
20,Chrysler,"165,964","7,062",4.26%,1.92%,0.95%
21,Acura,"158,934",0,0.00%,0.00%,0.91%
22,Cadillac,"153,863",231,0.15%,0.06%,0.88%
23,Infiniti,"149,280",0,0.00%,0.00%,0.86%
24,Mitsubishi,"118,074","4,166",3.53%,1.13%,0.68%
25,Lincoln,"103,587",0,0.00%,0.00%,0.59%
26,Volvo,"98,786","4,091",4.14%,1.11%,0.57%
27,Land Rover,"92,143",0,0.00%,0.00%,0.53%
28,Porsche,"59,116","3,058",5.17%,0.83%,0.34%
29,Mini,"43,684","1,564",3.58%,0.43%,0.25%
30,Jaguar,"30,254",393,1.30%,0.11%,0.17%
31,Alfa Romeo,"23,800",0,0.00%,0.00%,0.14%
32,Fiat,"15,521",2250,14.50%,0.61%,0.09%
33,Genesis,"9,940",0,0.00%,0.00%,0.06%
34,Smart,"1,276","1,219",95.53%,0.33%,0.01%
